PRODUCT,FECHAPEDIDO,PURCHASING_HOSPITAL,PURCHASING_DEPARTMENT,NUMERO,REFERENCIA,UNIDADESCONSUMOCONTENIDAS,PRECIO,IMPORTELINEA,TIPOCOMPRA,TGL,PRODUCTO,CODIGO_CLASS,CODIGO_NUM,YEAR,MONTH,DAYOFMONTH,DAYOFYEAR,CANTIDADCOMPRA
64663,2023-01-05,0,2,12194/23,413568,100,527.9985,1055.997,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.49999999999999994,0.8486442574947509,0.08596479873744647,200
64663,2023-01-09,4,1,16192/23,413568,5,26.399925,422.3988,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.49999999999999994,0.9680771188662043,0.15430882066428117,80
64663,2023-01-09,7,3,13627/23,413568,100,527.9985,1055.997,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.49999999999999994,0.9680771188662043,0.15430882066428117,200
64663,2023-01-11,10,1,27685/23,413568,5,26.399925,1715.995125,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.49999999999999994,0.7907757369376989,0.1882267098432442,325
64663,2023-01-18,10,1,62514/23,413568,5,26.399925,1610.395425,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.49999999999999994,-0.4853019625310808,0.30492122465628907,305
64663,2023-01-20,18,1,75487/23,413568,100,527.9985,1055.997,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.49999999999999994,-0.7907757369376986,0.3375228995941133,200
64663,2023-01-20,13,1,75480/23,413568,100,527.9985,2111.994,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.49999999999999994,-0.7907757369376986,0.3375228995941133,400
64663,2023-01-23,0,2,77623/23,413568,100,527.9985,1055.997,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.49999999999999994,-0.9987165071710528,0.38566340624360707,200
64663,2023-01-25,10,1,93586/23,413568,5,26.399925,1610.395425,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.49999999999999994,-0.9377521321470804,0.4171936026123168,305
64663,2023-02-03,13,1,133914/23,413568,100,527.9985,2111.994,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.8660254037844386,0.5712682150947923,0.5524353131676196,400
64663,2023-02-06,10,1,140624/23,413568,5,26.399925,1636.79535,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.8660254037844386,0.9377521321470804,0.5947266869607634,310
64663,2023-02-07,18,1,147515/23,413568,5,26.399925,897.59745,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.8660254037844386,0.9884683243281114,0.6084768701151261,170
64663,2023-02-11,0,2,167655/23,413568,100,527.9985,1055.997,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.8660254037844386,0.7907757369376989,0.6616346182422783,200
64663,2023-02-15,10,1,185829/23,413568,100,527.9985,2111.994,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.8660254037844386,0.10116832198743272,0.7116566222817746,400
64663,2023-02-20,18,1,210843/23,413568,5,26.399925,897.59745,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.8660254037844386,-0.7907757369376986,0.7694148268839378,170
64663,2023-02-21,10,1,217129/23,413568,5,26.399925,1953.59445,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.8660254037844386,-0.8978045395707417,0.7802958510707755,370
64663,2023-02-23,13,1,229260/23,413568,100,527.9985,2111.994,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.8660254037844386,-0.9987165071710528,0.8013610881746766,400
64663,2023-02-24,8,,239697/23,413568,100,527.9985,7919.9775,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,2023,0.8660254037844386,-0.9884683243281114,0.8115390590073611,1500
